ordinal,name,location,country,variant,lengthKm,commonTrackName,category,path,mapUrl,pitMapUrl,startFinishMapUrl,turnsMapUrl,cornersPerLap,pitRoadSpeedLimitMph,numberPitStalls,maxCars,nightLighting,rainEnabled,latitude,longitude,timeZone
41,[Legacy] Silverstone Circuit - 2008,"Towcester, Northamptonshire",England,Grand Prix,5.14,,road,tracks\silverstone\gp,https://members-assets.iracing.com/public/track-maps/tracks_silverstone/41-silverstone-gp/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_silverstone/41-silverstone-gp/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_silverstone/41-silverstone-gp/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_silverstone/41-silverstone-gp/turns.svg,17,45,42,81,false,true,52.0733006,-1.0168574,Europe/London
42,[Legacy] Silverstone Circuit - 2008,"Towcester, Northamptonshire",England,Historical Grand Prix,5.028,,road,tracks\silverstone\historicgp,https://members-assets.iracing.com/public/track-maps/tracks_silverstone/42-silverstone-historicgp/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_silverstone/42-silverstone-historicgp/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_silverstone/42-silverstone-historicgp/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_silverstone/42-silverstone-historicgp/turns.svg,10,45,42,81,false,true,52.0733006,-1.0168574,Europe/London
43,[Legacy] Silverstone Circuit - 2008,"Towcester, Northamptonshire",England,International,3.619,,road,tracks\silverstone\international,https://members-assets.iracing.com/public/track-maps/tracks_silverstone/43-silverstone-international/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_silverstone/43-silverstone-international/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_silverstone/43-silverstone-international/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_silverstone/43-silverstone-international/turns.svg,10,45,42,81,false,true,52.0733006,-1.0168574,Europe/London
44,[Legacy] Silverstone Circuit - 2008,"Towcester, Northamptonshire",England,National,2.638,,road,tracks\silverstone\national,https://members-assets.iracing.com/public/track-maps/tracks_silverstone/44-silverstone-national/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_silverstone/44-silverstone-national/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_silverstone/44-silverstone-national/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_silverstone/44-silverstone-national/turns.svg,6,45,42,81,false,true,52.0733006,-1.0168574,Europe/London
45,[Legacy] Silverstone Circuit - 2008,"Towcester, Northamptonshire",England,Southern,3.169,,road,tracks\silverstone\southern,https://members-assets.iracing.com/public/track-maps/tracks_silverstone/45-silverstone-southern/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_silverstone/45-silverstone-southern/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_silverstone/45-silverstone-southern/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_silverstone/45-silverstone-southern/turns.svg,5,35,43,81,false,true,52.0733006,-1.0168574,Europe/London
50,Road America,"Elkhart Lake, Wisconsin",USA,Bend,6.515,,road,tracks\roadamerica\bend,https://members-assets.iracing.com/public/track-maps/tracks_roadamerica/50-roadamerica-bend/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_roadamerica/50-roadamerica-bend/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_roadamerica/50-roadamerica-bend/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_roadamerica/50-roadamerica-bend/turns.svg,14,45,60,90,false,true,43.79751,-87.992157,America/Chicago
51,EchoPark Speedway (Atlanta),"Hampton, Georgia",USA,Road - 2008,4.104,,road,tracks\atlanta\roadcourse,https://members-assets.iracing.com/public/track-maps/tracks_atlanta/51-atlanta-roadcourse/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_atlanta/51-atlanta-roadcourse/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_atlanta/51-atlanta-roadcourse/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_atlanta/51-atlanta-roadcourse/turns.svg,9,45,43,64,false,true,33.3859794,-84.3184714,America/New_York
52,EchoPark Speedway (Atlanta),"Hampton, Georgia",USA,Legends Oval - 2008,0.402,,oval,tracks\atlanta\legendsoval,https://members-assets.iracing.com/public/track-maps/tracks_atlanta/52-atlanta-legendsoval/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_atlanta/52-atlanta-legendsoval/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_atlanta/52-atlanta-legendsoval/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_atlanta/52-atlanta-legendsoval/turns.svg,4,35,26,39,false,false,33.3859794,-84.3184714,America/New_York
53,EchoPark Speedway (Atlanta),"Hampton, Georgia",USA,Oval - 2008,2.478,,oval,tracks\atlanta\quadoval,https://members-assets.iracing.com/public/track-maps/tracks_atlanta/53-atlanta-quadoval/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_atlanta/53-atlanta-quadoval/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_atlanta/53-atlanta-quadoval/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_atlanta/53-atlanta-quadoval/turns.svg,4,45,43,64,false,false,33.3859794,-84.3184714,America/New_York
94,The Milwaukee Mile,"West Allis, Wisconsin",USA,,1.609,,oval,tracks\milwaukee,https://members-assets.iracing.com/public/track-maps/tracks_milwaukee/94-milwaukee/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_milwaukee/94-milwaukee/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_milwaukee/94-milwaukee/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_milwaukee/94-milwaukee/turns.svg,4,45,43,64,false,false,43.0204523,-88.0150972,America/Chicago
95,Sebring International Raceway,"Sebring, Florida",USA,International,6.019,sebring,road,tracks\sebring\international,https://members-assets.iracing.com/public/track-maps/tracks_sebring/95-sebring-international/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_sebring/95-sebring-international/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_sebring/95-sebring-international/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_sebring/95-sebring-international/turns.svg,17,45,62,64,true,true,27.4550124,-81.3518741,America/New_York
