ordinal,name,path,category,imageUrl
91,VW Beetle,cars\vwbeetlegrc,dirt_road,https://images-static.iracing.com/img/cars/vwbeetlegrc/vwbeetlegrc-small.jpg
92,Ford GTE,cars\fordgt2017,sports_car,https://images-static.iracing.com/img/cars/fordgt2017/fordgt2017-small.jpg
93,Ferrari 488 GTE,cars\ferrari488gte,sports_car,https://images-static.iracing.com/img/cars/ferrari488gte/ferrari488gte-small.jpg
94,[Legacy] Ferrari 488 GT3,cars\ferrari488gt3,sports_car,https://images-static.iracing.com/img/cars/ferrari488gt3/ferrari488gt3-small.jpg
95,Dirt UMP Modified,cars\dirtumpmod,dirt_oval,https://images-static.iracing.com/img/cars/dirtumpmodified/dirtumpmodified-small.jpg
96,Dirt Midget,cars\dirtmidget,dirt_oval,https://images-static.iracing.com/img/cars/dirtmidget/dirtmidget-small.jpg
98,Audi R18,cars\audir18,sports_car,https://images-static.iracing.com/img/cars/audir18/audir18-small.jpg
99,Dallara IR18,cars\dallarair18,formula_car,https://images-static.iracing.com/img/cars/carid_99/dallarair18-small.jpg
100,Porsche 919,cars\porsche919,sports_car,https://images-static.iracing.com/img/cars/porsche919/porsche919-small.jpg
101,Subaru WRX STI,cars\subaruwrxsti,dirt_road,https://images-static.iracing.com/img/cars/subaruwrxsti/subaruwrxsti-small.jpg
102,Porsche 911 RSR,cars\porsche991rsr,sports_car,https://images-static.iracing.com/img/cars/porsche911rsr/porsche911rsr-small.jpg
103,NASCAR Cup Series Chevrolet Camaro ZL1,cars\stockcars\camarozl12018,oval,https://images-static.iracing.com/img/cars/chevroletcamarozl1/chevroletcamarozl1-small.jpg
104,Lucas Oil Off Road Pro 2 Truck,cars\protrucks\pro2truck,dirt_road,https://images-static.iracing.com/img/cars/pro2truck/pro2truck-small.jpg
105,Formula Renault 3.5,cars\formularenault35,formula_car,https://images-static.iracing.com/img/cars/formularenault35/formularenault35-small.jpg
106,Dallara F3,cars\dallaraf3,formula_car,https://images-static.iracing.com/img/cars/dallaraf3/dallaraf3-small.jpg
107,Lucas Oil Off Road Pro 4 Truck,cars\protrucks\pro4truck,dirt_road,https://images-static.iracing.com/img/cars/pro4truck/pro4truck-small.jpg
109,BMW M8 GTE,cars\bmwm8gte,sports_car,https://images-static.iracing.com/img/cars/bmwm8gte/bmwm8gte-small.jpg
110,NASCAR Cup Series Ford Mustang,cars\stockcars\fordmustang2019,oval,https://images-static.iracing.com/img/cars/fordmustang/fordmustang-small.jpg
111,NASCAR Truck Chevrolet Silverado,cars\trucks\silverado2019,oval,https://images-static.iracing.com/img/cars/carid_111/chevroletsilverado-small.jpg
112,Audi RS 3 LMS TCR,cars\audirs3lms,sports_car,https://images-static.iracing.com/img/cars/audirs3lms/audirs3lms-small.jpg
113,Lucas Oil Off Road Pro 2 Lite,cars\protrucks\pro2lite,dirt_road,https://images-static.iracing.com/img/cars/pro2truck/pro2lite-small.jpg
114,NASCAR XFINITY Chevrolet Camaro,cars\stockcars2\camaro2019,oval,https://images-static.iracing.com/img/cars/xfinitycamaro/xfinitycamaro-small.jpg
115,NASCAR XFINITY Ford Mustang,cars\stockcars2\mustang2019,oval,https://images-static.iracing.com/img/cars/xfinitymustang/xfinitymustang-small.jpg
116,NASCAR XFINITY Toyota Supra,cars\stockcars2\supra2019,oval,https://images-static.iracing.com/img/cars/xfinitysupra/xfinitysupra-small.jpg
117,[Legacy] Supercars Holden ZB Commodore,cars\v8supercars\holden2019,sports_car,https://images-static.iracing.com/img/cars/supercarsholden/supercarsholden-small.jpg
118,[Legacy] Supercars Ford Mustang GT,cars\v8supercars\fordmustanggt,sports_car,https://images-static.iracing.com/img/cars/supercarsmustang/supercarsmustang-small.jpg
119,Porsche 718 Cayman GT4 Clubsport MR,cars\porsche718gt4,sports_car,https://images-static.iracing.com/img/cars/porsche718/porsche718caymangt4clubsportmr-small.jpg
120,Indy Pro 2000 PM-18,cars\indypropm18,formula_car,https://images-static.iracing.com/img/cars/indypro2000pm18/indypro2000pm18-small.jpg
121,USF 2000,cars\usf2000usf17,formula_car,https://images-static.iracing.com/img/cars/usf2000/usf2000-small.jpg
