#options: 2748x1554 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=4600 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:65 out:67 type:b dur:6 cpbdur:6 q:23.87 aq:20.47 tex:58073 mv:5714 misc:2733 imb:144 pmb:797 smb:15915 d:- ref:0 ;
in:67 out:68 type:b dur:4 cpbdur:4 q:23.44 aq:20.91 tex:87668 mv:8146 misc:3218 imb:147 pmb:997 smb:15712 d:- ref:0 ;
in:72 out:69 type:P dur:4 cpbdur:4 q:21.89 aq:13.28 tex:441368 mv:15189 misc:7363 imb:1188 pmb:2579 smb:13089 d:- ref:0 ;
in:70 out:70 type:B dur:4 cpbdur:4 q:22.56 aq:18.94 tex:154113 mv:12552 misc:3367 imb:153 pmb:1316 smb:15387 d:- ref:0 ;
in:69 out:71 type:b dur:4 cpbdur:4 q:22.89 aq:19.43 tex:31134 mv:3102 misc:2828 imb:43 pmb:690 smb:16123 d:- ref:0 ;
in:71 out:72 type:b dur:4 cpbdur:4 q:22.23 aq:18.86 tex:36736 mv:3099 misc:2517 imb:12 pmb:646 smb:16198 d:- ref:0 ;
in:76 out:73 type:P dur:4 cpbdur:4 q:21.67 aq:13.30 tex:350753 mv:12108 misc:5259 imb:933 pmb:1534 smb:14389 d:- ref:0 ;
in:74 out:74 type:B dur:4 cpbdur:4 q:21.78 aq:21.27 tex:150640 mv:11192 misc:3208 imb:108 pmb:1331 smb:15417 d:- ref:0 ;
in:73 out:75 type:b dur:4 cpbdur:4 q:21.84 aq:17.31 tex:104448 mv:8515 misc:3389 imb:90 pmb:1243 smb:15523 d:- ref:0 ;
in:75 out:76 type:b dur:4 cpbdur:4 q:21.72 aq:17.23 tex:98564 mv:8828 misc:3584 imb:159 pmb:1152 smb:15545 d:- ref:0 ;
in:80 out:77 type:P dur:4 cpbdur:4 q:21.40 aq:13.98 tex:321668 mv:12114 misc:5850 imb:899 pmb:1814 smb:14143 d:- ref:0 ;
in:78 out:78 type:B dur:4 cpbdur:4 q:21.53 aq:20.51 tex:122272 mv:9906 misc:3542 imb:141 pmb:1255 smb:15460 d:- ref:0 ;
in:77 out:79 type:b dur:4 cpbdur:4 q:21.60 aq:13.93 tex:2875 mv:1091 misc:2978 imb:9 pmb:663 smb:16184 d:- ref:0 ;
in:79 out:80 type:b dur:4 cpbdur:4 q:21.47 aq:21.96 tex:104845 mv:9100 misc:3383 imb:113 pmb:1222 smb:15521 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:23.94 aq:15.34 tex:235362 mv:10797 misc:5585 imb:655 pmb:1746 smb:14455 d:- ref:0 ;
in:82 out:82 type:B dur:4 cpbdur:4 q:22.67 aq:17.04 tex:126678 mv:8423 misc:3451 imb:120 pmb:1150 smb:15586 d:- ref:0 ;
in:81 out:83 type:b dur:4 cpbdur:4 q:22.03 aq:14.00 tex:2428 mv:1140 misc:2760 imb:13 pmb:609 smb:16234 d:- ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:23.30 aq:22.76 tex:2537 mv:1202 misc:2717 imb:7 pmb:630 smb:16219 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:24.21 aq:16.05 tex:263786 mv:11054 misc:4032 imb:654 pmb:1335 smb:14867 d:- ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:24.07 aq:20.89 tex:120833 mv:10452 misc:3491 imb:187 pmb:1179 smb:15490 d:- ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:24.00 aq:15.20 tex:1060 mv:1034 misc:2626 imb:17 pmb:597 smb:16242 d:- ref:0 ;
in:87 out:88 type:b dur:4 cpbdur:4 q:24.14 aq:24.25 tex:85908 mv:7245 misc:2767 imb:128 pmb:849 smb:15879 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:24.29 aq:16.18 tex:202350 mv:8995 misc:3775 imb:649 pmb:1257 smb:14950 d:- ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:24.25 aq:22.80 tex:111904 mv:8250 misc:3310 imb:143 pmb:992 smb:15721 d:- ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:24.23 aq:25.09 tex:2232 mv:971 misc:2573 imb:4 pmb:605 smb:16247 d:- ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:24.27 aq:23.43 tex:2159 mv:968 misc:2457 imb:12 pmb:535 smb:16309 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:24.46 aq:15.86 tex:192595 mv:9167 misc:3638 imb:607 pmb:1245 smb:15004 d:- ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:24.38 aq:21.36 tex:84395 mv:7431 misc:3078 imb:91 pmb:947 smb:15818 d:- ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:24.34 aq:19.82 tex:476 mv:1090 misc:2458 imb:8 pmb:544 smb:16304 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:24.42 aq:18.41 tex:558 mv:1181 misc:2573 imb:13 pmb:564 smb:16279 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:24.43 aq:15.88 tex:220564 mv:9698 misc:3826 imb:695 pmb:1240 smb:14921 d:- ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:24.45 aq:21.39 tex:107822 mv:8310 misc:3196 imb:133 pmb:972 smb:15751 d:- ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:24.45 aq:18.50 tex:580 mv:972 misc:2568 imb:9 pmb:590 smb:16257 d:- ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:24.44 aq:22.12 tex:754 mv:1015 misc:2447 imb:15 pmb:545 smb:16296 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:24.41 aq:15.20 tex:202870 mv:10027 misc:4087 imb:633 pmb:1273 smb:14950 d:- ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:24.42 aq:22.24 tex:113887 mv:9034 misc:3271 imb:175 pmb:991 smb:15690 d:- ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:24.43 aq:18.48 tex:788 mv:958 misc:2558 imb:5 pmb:597 smb:16254 d:- ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:24.42 aq:20.12 tex:1301 mv:1372 misc:2615 imb:18 pmb:578 smb:16260 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:24.46 aq:14.95 tex:251218 mv:10619 misc:3811 imb:679 pmb:1230 smb:14947 d:- ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:24.44 aq:22.75 tex:99829 mv:9015 misc:3300 imb:118 pmb:1037 smb:15701 d:- ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:24.42 aq:20.65 tex:1036 mv:1032 misc:2532 imb:7 pmb:567 smb:16282 d:- ref:0 ;
